Sn,Task Name,Activity Type,Planned Start,Planned Finish
2196,Boiler Skin Casing (PG-31),SUP,2023-01-25,2024-12-26
2197,SKIN CASING COMPS WELDED TO PR. PARTS (PGMA-31010),SUP,2023-01-25,2024-11-25
2198,Engineering,ENG,2023-01-25,2023-12-20
2199,Manufacturing,MFG,2023-12-21,2024-10-26
2200,Dispatch,DIS,2024-10-27,2024-11-25
2201,FURNACE REAR ARCH SKIN CASING (PGMA-31104),SUP,2023-06-12,2024-12-26
2202,Engineering,ENG,2023-06-12,2024-02-28
2203,Manufacturing,MFG,2024-02-29,2024-11-26
2204,Dispatch,DIS,2024-11-27,2024-12-26
2205,Fixing Components for Boiler Auxiliaries Insulation (PG-32),SUP,2023-07-02,2025-01-27
2206,FIXING COMPONENTS FOR BLR PR PARTS INSUL (PGMA-32010),SUP,2023-07-02,2025-01-25
2207,Engineering,ENG,2023-07-02,2024-03-22
2208,Manufacturing,MFG,2024-03-23,2024-12-26
2209,Dispatch,DIS,2024-12-27,2025-01-25
2210,FIXING COMPONENTS FOR DUCT INSUL (PGMA-32210),SUP,2023-07-02,2025-01-25
2211,Engineering,ENG,2023-07-02,2024-03-22
2212,Manufacturing,MFG,2024-03-23,2024-12-26
2213,Dispatch,DIS,2024-12-27,2025-01-25
2214,BULKED BPS COMPONENT (PGMA-32700),SUP,2023-07-02,2025-01-25
2215,Engineering,ENG,2023-07-02,2024-03-22
2216,Manufacturing,MFG,2024-03-23,2024-12-26
2217,Dispatch,DIS,2024-12-27,2025-01-25
2218,FIXING COMPONENT FOR OUTLET DUCT (PGMA-32810),SUP,2023-07-02,2025-01-27
2219,Engineering,ENG,2023-07-02,2024-03-22
2220,Manufacturing,MFG,2024-03-23,2024-12-28
2221,Dispatch,DIS,2024-12-29,2025-01-27
2222,Lining and Insulation Materials (PG-33),SUP,2023-06-12,2025-04-27
2223,BLR PR PARTS MINERAL WOOL (PGMA-33021),SUP,2023-07-02,2025-01-25
2224,Engineering,ENG,2023-07-02,2024-03-22
2225,Manufacturing,MFG,2024-03-23,2024-12-26
2226,Dispatch,DIS,2024-12-27,2025-01-25
2227,MAIN BLR CASTABLE REFRACTORY GR A (PGMA-33210),SUP,2023-06-12,2024-12-26
2228,Engineering,ENG,2023-06-12,2024-02-28
2229,Manufacturing,MFG,2024-02-29,2024-11-26
2230,Dispatch,DIS,2024-11-27,2024-12-26
2231,DUCT MINERAL WOOL (PGMA-33221),SUP,2023-08-07,2025-03-27
2232,Engineering,ENG,2023-08-07,2024-05-14
2233,Manufacturing,MFG,2024-05-15,2025-02-25
2234,Dispatch,DIS,2025-02-26,2025-03-27
2235,MAIN BLR POURABLE INSULATION (PGMA-33230),SUP,2023-06-12,2024-12-26
2236,Engineering,ENG,2023-06-12,2024-02-28
2237,Manufacturing,MFG,2024-02-29,2024-11-26
2238,Dispatch,DIS,2024-11-27,2024-12-26
2239,MISC EQPTS SEAL MATERIALS (PGMA-33924),SUP,2023-08-22,2025-04-27
2240,Engineering,ENG,2023-08-22,2024-06-11
2241,Manufacturing,MFG,2024-06-12,2025-03-28
2242,Dispatch,DIS,2025-03-29,2025-04-27
2243,MISC EQPTS EXPANDED METAL (PGMA-33970),SUP,2023-07-02,2025-01-25
2244,Engineering,ENG,2023-07-02,2024-03-22
2245,Manufacturing,MFG,2024-03-23,2024-12-26
2246,Dispatch,DIS,2024-12-27,2025-01-25
2247,MISC EQPTS WOVEN WIRE CLOTH (PGMA-33971),SUP,2023-06-12,2024-12-26
2248,Engineering,ENG,2023-06-12,2024-02-28
2249,Manufacturing,MFG,2024-02-29,2024-11-26
2250,Dispatch,DIS,2024-11-27,2024-12-26
2251,MISC EQPTS SEALING COMPOUND (PGMA-33975),SUP,2023-08-22,2025-04-27
2252,Engineering,ENG,2023-08-22,2024-06-11
2253,Manufacturing,MFG,2024-06-12,2025-03-28
2254,Dispatch,DIS,2025-03-29,2025-04-27
2255,Boiler Outer Casing (PG-37),SUP,2023-06-12,2024-08-28
2256,BLR OUTER CASING COMPONENTS (PGMA-37010),SUP,2023-06-12,2024-08-28
2257,Engineering,ENG,2023-06-12,2023-12-28
2258,Manufacturing,MFG,2023-12-29,2024-07-29
2259,Dispatch,DIS,2024-07-30,2024-08-28
2260,BLR OUTER CASING (PGMA-37810),SUP,2023-06-12,2024-08-28
2261,Engineering,ENG,2023-06-12,2023-12-28
2262,Manufacturing,MFG,2023-12-29,2024-07-29
2263,Dispatch,DIS,2024-07-30,2024-08-28
2264,Erection,ERC,2025-04-01,2026-01-15
2265,Seal Boxes (PG-09),ERC,2025-04-01,2025-05-30
2266,Erection: Seal Boxes for Furnace Opening,ERC,2025-04-21,2025-05-30
2267,Erection: Seal Boxes for Instrument tapping,ERC,2025-04-01,2025-05-19
2268,Roof Skin Casing (PG-18),ERC,2025-06-30,2025-11-16
2269,Erection: Roof Skin Casing and PP attachment,ERC,2025-06-30,2025-11-16
2270,Fixing Components for Main Boiler Lining and Insulation (PG-30),ERC,2025-08-19,2025-11-16
2271,Erection: SEAL PLATE ASSY,ERC,2025-10-18,2025-11-16
2272,Erection: MAIN BOILER INSULATION,ERC,2025-08-19,2025-11-16
2273,Erection: VERTICAL ROOF ENCLOSURE FRAMING,ERC,2025-08-19,2025-11-16
2274,Erection: GAS DISTRIBUTION BAFFLES,ERC,2025-08-19,2025-09-17
2275,Erection: Antivibration Baffles,ERC,2025-08-19,2025-09-17
2276,Erection: FIRST PASS DECK SPRT AND SEAL,ERC,2025-08-19,2025-11-16
2277,Erection: SECOND PASS DECK SPRT AND SEAL,ERC,2025-08-19,2025-11-16
2278,Erection: ENCLOSURE SUPPORT STEEL,ERC,2025-08-19,2025-11-16
2279,Boiler Skin Casing (PG-31),ERC,2025-07-05,2025-08-03
2280,Erection: SKIN CASING COMPS WELDED TO PR. PARTS,ERC,2025-07-05,2025-08-03
2281,Erection: FURNACE REAR ARCH SKIN CASING,ERC,2025-07-05,2025-08-03
2282,Fixing Components for Boiler Auxiliaries Insulation (PG-32),ERC,2025-07-20,2025-11-16
2283,Erection: FIXING COMPONENTS FOR BLR PR PARTS INSUL,ERC,2025-07-20,2025-11-16
2284,Lining and Insulation Materials (PG-33),ERC,2025-08-09,2026-01-15
2285,Erection: BLR PR PARTS MINERAL WOOL,ERC,2025-08-19,2025-12-16
2286,Erection: MAIN BLR CASTABLE REFRACTORY GR A,ERC,2025-08-09,2025-12-06
2287,Erection: MAIN BLR POURABLE INSULATION,ERC,2025-08-09,2026-01-15
2288,Boiler Outer Casing (PG-37),ERC,2025-07-20,2025-12-06
2289,Erection: BLR OUTER CASING COMPONENTS,ERC,2025-07-20,2025-12-06
2290,Erection: BLR OUTER CASING ,ERC,2025-07-20,2025-12-06
2291,Ignition and Burning System,ERC,2023-01-25,2025-12-09
2292,Supply (BHEL TRY),SUP,2023-01-25,2025-04-29
2293,Oil & Gas Burners and Ignitors & Scanners (PG-41),SUP,2023-06-12,2025-01-27
2294,AIR COOLED OIL GUN ASSY  (PGMA-41350),SUP,2023-06-12,2024-12-26
2295,Engineering,ENG,2023-06-12,2024-02-28
2296,Manufacturing,MFG,2024-02-29,2024-11-26
2297,Dispatch,DIS,2024-11-27,2024-12-26
2298,OIL GUN VICE ASSEMBLY AND RACK (PGMA-41390),SUP,2023-06-12,2024-12-26
2299,Engineering,ENG,2023-06-12,2024-02-28
2300,Manufacturing,MFG,2024-02-29,2024-11-26
2301,Dispatch,DIS,2024-11-27,2024-12-26
2302,HIGH ENERGY ARC IGNITOR (PGMA-41500),SUP,2023-06-12,2024-12-28
2303,Engineering,ENG,2023-06-12,2024-02-28
2304,Manufacturing,MFG,2024-02-29,2024-11-28
2305,Dispatch,DIS,2024-11-29,2024-12-28
2306,Oil Gun Assembly - DD items (PGMA-41710),SUP,2023-06-12,2024-12-28
2307,Engineering,ENG,2023-06-12,2024-02-28
2308,Manufacturing,MFG,2024-02-29,2024-11-28
2309,Dispatch,DIS,2024-11-29,2024-12-28
2310,OIL&GAS BURNER COMMISSIONING SPARE (PGMA-41988),SUP,2023-07-02,2025-01-27
2311,Engineering,ENG,2023-07-02,2024-03-22
2312,Manufacturing,MFG,2024-03-23,2024-12-28
2313,Dispatch,DIS,2024-12-29,2025-01-27
2314,OIL/GAS BURNER MANDATORY SPARES (PGMA-41997),SUP,2023-07-02,2025-01-27
2315,Engineering,ENG,2023-07-02,2024-03-22
2316,Manufacturing,MFG,2024-03-23,2024-12-28
2317,Dispatch,DIS,2024-12-29,2025-01-27
2318,Oil & Gas Systems (PG-42),OTH,2023-06-12,2025-04-29
2319,PNEUMATIC FITTINGS (PGMA-42001),SUP,2023-08-07,2025-03-30
2320,Engineering,ENG,2023-08-07,2024-05-14
2321,Manufacturing,MFG,2024-05-15,2025-02-28
2322,Dispatch,DIS,2025-03-01,2025-03-30
2323,STEAM BLOW MATERIALS (PGMA-42002),SUP,2023-07-23,2025-02-27
2324,Engineering,ENG,2023-07-23,2024-04-17
2325,Manufacturing,MFG,2024-04-18,2025-01-28
2326,Dispatch,DIS,2025-01-29,2025-02-27
2327,INSTRUMENT FITTINGS (PGMA-42005),SUP,2023-08-07,2025-03-30
2328,Engineering,ENG,2023-08-07,2024-05-14
2329,Manufacturing,MFG,2024-05-15,2025-02-28
2330,Dispatch,DIS,2025-03-01,2025-03-30
2331,BOI-LU-LIGHT FUEL OIL PUMP SET (PGMA-42010),SUP,2023-12-01,2025-02-04
2332,NIT,ENQ,2023-12-01,2023-12-01
2333,Ordering,ORD,2023-12-02,2024-03-30
2334,Manufacturing,MFG,2024-03-31,2025-01-05
2335,Dispatch,DIS,2025-01-06,2025-02-04
2336,BOI-LU-DRAIN OIL PUMP-MOTOR ASSY (PGMA-42046),SUP,2023-08-03,2025-02-07
2337,NIT,ENQ,2023-08-03,2023-08-03
2338,Ordering,ORD,2023-08-04,2023-12-31
2339,Manufacturing,MFG,2024-04-10,2025-01-08
2340,Dispatch,DIS,2025-01-09,2025-02-07
2341,DRAIN OIL TANK (PGMA-42065),SUP,2023-06-12,2024-12-28
2342,Engineering,ENG,2023-06-12,2024-02-28
2343,Manufacturing,MFG,2024-02-29,2024-11-28
2344,Dispatch,DIS,2024-11-29,2024-12-28
2345,BURNER STATION SKID ASSY (PGMA-42070),SUP,2023-08-07,2025-03-30
2346,Engineering,ENG,2023-08-07,2024-05-14
2347,Manufacturing,MFG,2024-05-15,2025-02-28
2348,Dispatch,DIS,2025-03-01,2025-03-30
2349,PIPING  PUMP HOUSE-FUEL OIL (PGMA-42120),SUP,2023-07-23,2025-02-27
2350,Engineering,ENG,2023-07-23,2024-04-17
2351,Manufacturing,MFG,2024-04-18,2025-01-28
2352,Dispatch,DIS,2025-01-29,2025-02-27
2353,PIPING PUMP HOUSE STEAM - IBR (PGMA-42128),SUP,2023-07-23,2025-02-27
2354,Engineering,ENG,2023-07-23,2024-04-17
2355,Manufacturing,MFG,2024-04-18,2025-01-28
2356,Dispatch,DIS,2025-01-29,2025-02-27
2357,PIPING OPERATING FLOOR LIGHT FUEL OIL (PGMA-42152),SUP,2023-08-07,2025-03-30
2358,Engineering,ENG,2023-08-07,2024-05-14
2359,Manufacturing,MFG,2024-05-15,2025-02-28
2360,Dispatch,DIS,2025-03-01,2025-03-30
2361,PIPING OPRG FLOOR DRAIN OIL (PGMA-42154),SUP,2023-08-07,2025-03-30
2362,Engineering,ENG,2023-08-07,2024-05-14
2363,Manufacturing,MFG,2024-05-15,2025-02-28
2364,Dispatch,DIS,2025-03-01,2025-03-30
2365,PIPING OPERATING FLOOR ATOMIZING AIR (PGMA-42157),SUP,2023-06-12,2024-12-28
2366,Engineering,ENG,2023-06-12,2024-02-28
2367,Manufacturing,MFG,2024-02-29,2024-11-28
2368,Dispatch,DIS,2024-11-29,2024-12-28
2369,PIPING OPERATING FLOOR STEAM-IBR (PGMA-42158),SUP,2023-08-07,2025-03-30
2370,Engineering,ENG,2023-08-07,2024-05-14
2371,Manufacturing,MFG,2024-05-15,2025-02-28
2372,Dispatch,DIS,2025-03-01,2025-03-30
2373,BOI-LU-SUBDELIVERY FUEL OIL SYSTEM (PGMA-42200),SUP,2023-11-01,2025-02-04
2374,NIT,ENQ,2023-11-01,2023-11-01
2375,Ordering,ORD,2023-11-02,2024-03-30
2376,Manufacturing,MFG,2024-03-31,2025-01-05
2377,Dispatch,DIS,2025-01-06,2025-02-04
2378,BHEL VALVE F.O. SYSTEM (PGMA-42300),SUP,2023-07-02,2025-01-27
2379,Engineering,ENG,2023-07-02,2024-03-22
2380,Manufacturing,MFG,2024-03-23,2024-12-28
2381,Dispatch,DIS,2024-12-29,2025-01-27
2382,BHEL VALVE OPERATING FLOOR STM-IBR (PGMA-42358),SUP,2023-07-02,2025-01-27
2383,Engineering,ENG,2023-07-02,2024-03-22
2384,Manufacturing,MFG,2024-03-23,2024-12-28
2385,Dispatch,DIS,2024-12-29,2025-01-27
2386,BULKED BPS COMPONENTS (PGMA-42700),SUP,2023-07-23,2025-02-27
2387,Engineering,ENG,2023-07-23,2024-04-17
2388,Manufacturing,MFG,2024-04-18,2025-01-28
2389,Dispatch,DIS,2025-01-29,2025-02-27
2390,Fuel Oil System - DD Items (PGMA-42710),SUP,2023-07-23,2025-02-27
2391,Engineering,ENG,2023-07-23,2024-04-17
2392,Manufacturing,MFG,2024-04-18,2025-01-28
2393,Dispatch,DIS,2025-01-29,2025-02-27
2394,Fuel Oil System - Shop items (PGMA-42858),SUP,2023-08-07,2025-03-30
2395,Engineering,ENG,2023-08-07,2024-05-14
2396,Manufacturing,MFG,2024-05-15,2025-02-28
2397,Dispatch,DIS,2025-03-01,2025-03-30
2398,OIL&GAS SYSTEM COMMISSIONING SPARE (PGMA-42988),SUP,2023-08-22,2025-04-29
2399,Engineering,ENG,2023-08-22,2024-06-11
2400,Manufacturing,MFG,2024-06-12,2025-03-30
2401,Dispatch,DIS,2025-03-31,2025-04-29
2402,IMPORTED ELECTRODES (PGMA-42992),SUP,2023-07-23,2025-02-27
2403,Engineering,ENG,2023-07-23,2024-04-17
2404,Manufacturing,MFG,2024-04-18,2025-01-28
2405,Dispatch,DIS,2025-01-29,2025-02-27
2406,OIL SYSTEM-MANDATORY SPARES (PGMA-42997),SUP,2023-08-22,2025-04-29
2407,Engineering,ENG,2023-08-22,2024-06-11
2408,Manufacturing,MFG,2024-06-12,2025-03-30
2409,Dispatch,DIS,2025-03-31,2025-04-29
2410,Ignitor and Scanner Air System (PG-43),OTH,2023-08-07,2025-04-29
2411,ASSY COMP SCANNER & GUN AIR SYSTEM (PGMA-43004),SUP,2023-08-07,2025-03-30
2412,Engineering,ENG,2023-08-07,2024-05-14
2413,Manufacturing,MFG,2024-05-15,2025-02-28
2414,Dispatch,DIS,2025-03-01,2025-03-30
2415,ASSY COMP MILL SEAL AIR SYSTEM (PGMA-43005),SUP,2023-08-22,2025-04-29
2416,Engineering,ENG,2023-08-22,2024-06-11
2417,Manufacturing,MFG,2024-06-12,2025-03-30
2418,Dispatch,DIS,2025-03-31,2025-04-29
2419,M/C COMP SCANNER & GUN AIR SYSTEM (PGMA-43104),SUP,2023-08-07,2025-03-30
2420,Engineering,ENG,2023-08-07,2024-05-14
2421,Manufacturing,MFG,2024-05-15,2025-02-28
2422,Dispatch,DIS,2025-03-01,2025-03-30
2423,M/C COMP MILL SEAL AIR SYSTEM (PGMA-43105),SUP,2023-08-22,2025-04-29
2424,Engineering,ENG,2023-08-22,2024-06-11
2425,Manufacturing,MFG,2024-06-12,2025-03-30
2426,Dispatch,DIS,2025-03-31,2025-04-29
2427,BOI-LU-SUBDEL  AIR SYSTEM (PGMA-43200),SUP,2023-09-22,2025-03-15
2428,NIT,ENQ,2023-09-22,2023-09-22
2429,Ordering,ORD,2023-09-23,2024-04-09
2430,Manufacturing,MFG,2024-04-10,2025-02-13
2431,Dispatch,DIS,2025-02-14,2025-03-15
2432,Seal Air & Scanner Air System - DD items (PGMA-43710),SUP,2023-08-07,2025-03-30
2433,Engineering,ENG,2023-08-07,2024-05-14
2434,Manufacturing,MFG,2024-05-15,2025-02-28
2435,Dispatch,DIS,2025-03-01,2025-03-30
2436,Coal Burner System (PG-45),OTH,2023-01-25,2025-04-29
2437,SA DAMPER & BURNER TILT ACTUATORS (PGMA-45200),SUP,2023-04-09,2024-08-29
2438,Engineering,ENG,2023-04-09,2023-11-29
2439,Manufacturing,MFG,2023-11-30,2024-07-30
2440,Dispatch,DIS,2024-07-31,2024-08-29
2441,Wind Box & SOFA Assembly - DD items (PGMA-45710),SUP,2023-01-25,2024-08-29
2442,Engineering,ENG,2023-01-25,2023-11-05
2443,Manufacturing,MFG,2023-11-06,2024-07-30
2444,Dispatch,DIS,2024-07-31,2024-08-29
2445,Windbox assembly and SOFA tube attachment (PGMA-45801),SUP,2023-01-25,2024-07-29
2446,Engineering,ENG,2023-01-25,2023-10-26
2447,Manufacturing,MFG,2023-10-27,2024-06-29
2448,Dispatch,DIS,2024-06-30,2024-07-29
2449,"Windbox assembly - 32"" width (PGMA-45802)",SUP,2023-01-25,2024-07-29
2450,Engineering,ENG,2023-01-25,2023-10-26
2451,Manufacturing,MFG,2023-10-27,2024-06-29
2452,Dispatch,DIS,2024-06-30,2024-07-29
2453,Windbox assembly - SOFA (PGMA-45804),SUP,2023-01-25,2024-07-29
2454,Engineering,ENG,2023-01-25,2023-10-26
2455,Manufacturing,MFG,2023-10-27,2024-06-29
2456,Dispatch,DIS,2024-06-30,2024-07-29
2457,Windbox support and air cylinder mounting (PGMA-45805),SUP,2023-01-25,2024-07-29
2458,Engineering,ENG,2023-01-25,2023-10-26
2459,Manufacturing,MFG,2023-10-27,2024-06-29
2460,Dispatch,DIS,2024-06-30,2024-07-29
2461,Wind Box & SOFA Assy - Shop items (PGMA-45858),SUP,2023-01-25,2024-07-29
2462,Engineering,ENG,2023-01-25,2023-10-26
2463,Manufacturing,MFG,2023-10-27,2024-06-29
2464,Dispatch,DIS,2024-06-30,2024-07-29
2465,COAL BURNER-MANDATORY SPARES (PGMA-45997),SUP,2023-08-22,2025-04-29
2466,Engineering,ENG,2023-08-22,2024-06-11
2467,Manufacturing,MFG,2024-06-12,2025-03-30
2468,Dispatch,DIS,2025-03-31,2025-04-29
2469,Erection,ERC,2024-08-30,2025-12-09
2470,Oil & Gas Burners and Ignitors & Scanners (PG-41),ERC,2025-12-02,2025-12-09
2471,Erection: AIR COOLED OIL GUN ASSY,ERC,2025-12-02,2025-12-09
2472,Erection: OIL GUN VICE ASSEMBLY AND RACK,ERC,2025-12-02,2025-12-09
2473,Erection: HIGH ENERGY ARC IGNITOR,ERC,2025-12-02,2025-12-09
2474,Oil & Gas Systems (PG-42),ERC,2025-09-01,2025-10-30
2475,Erection: PNEUMATIC FITTINGS,ERC,2025-10-01,2025-10-08
2476,Erection: STEAM BLOW MATERIALS,ERC,2025-10-01,2025-10-08
2477,Erection: INSTRUMENT FITTINGS,ERC,2025-10-01,2025-10-08
2478,Erection: BURNER STATION SKID ASSY,ERC,2025-09-01,2025-09-30
2479,Erection: PIPING & Valves  OPERATING FLOOR  & TRACER,ERC,2025-10-01,2025-10-30
2480,Erection: PIPING & Valves  OPERATING FLOOR LIGHT FUEL OIL,ERC,2025-10-01,2025-10-30
2481,Erection: PIPING & Valves OPRG FLOOR DRAIN OIL,ERC,2025-10-01,2025-10-30
2482,Erection: PIPING & Valves  OPERATING FLOOR ATOMIZING AIR,ERC,2025-10-01,2025-10-30
2483,Erection: PIPING & Valves  OPERATING FLOOR STEAM-IBR,ERC,2025-10-01,2025-10-30
2484,Ignitor and Scanner Air System (PG-43),ERC,2025-04-30,2025-10-15
2485,Erection: ASSY COMP SCANNER & GUN AIR SYSTEM,ERC,2025-10-01,2025-10-15
2486,Erection: ASSY COMP MILL SEAL AIR SYSTEM,ERC,2025-04-30,2025-05-14
2487,Erection: M/C COMP SCANNER & GUN AIR SYSTEM,ERC,2025-10-01,2025-10-15
2488,Erection: M/C COMP MILL SEAL AIR SYSTEM,ERC,2025-05-15,2025-05-29
2489,Erection: Seal Air & Scanner Air System,ERC,2025-09-01,2025-09-30
2490,Coal Burner System (PG-45),ERC,2024-08-30,2024-09-13
2491,Erection: SA DAMPER & BURNER TILT ACTUATORS,ERC,2024-08-30,2024-09-13
2492,Air & Flue Gas System,OTH,2022-09-27,2026-05-28
2493, Rel of DWG for Duct Boiler to ESP,PE - RFC,2023-11-03,2023-11-03
2494, Rel of DWG for Duct ESP to Chimney,PE - RFC,2023-12-29,2023-12-29
2495,Civil Work,CIV,2023-11-04,2025-04-20
2496, BOF to ESP Duct Foundation,CIV,2023-11-04,2025-04-20
2497,Priority (First) Pass,CIV,2023-11-04,2025-04-20
2498,BOF to ESP Duct Foundation (PP):- Excavation,CIV,2023-11-04,2023-12-03
2499,BOF to ESP Duct Foundation (PP):- RCC in substructure including PCC,CIV,2023-12-04,2024-02-01
2500,BOF to ESP Duct Foundation (PP):- RCC in superstructure,CIV,2024-12-02,2025-03-31
2501,BOF to ESP Duct Foundation (PP):- Backfilling,CIV,2025-04-01,2025-04-10
2502,BOF to ESP Duct Foundation (PP):- Finishing works,CIV,2025-04-11,2025-04-20
2503,Second Pass,CIV,2023-11-04,2025-04-20
2504,BOF to ESP Duct Foundation (SP):- Excavation,CIV,2023-11-04,2023-12-03
2505,BOF to ESP Duct Foundation (SP):- RCC in substructure including PCC,CIV,2023-12-04,2024-02-01
2506,BOF to ESP Duct Foundation (SP):- RCC in superstructure,CIV,2024-12-02,2025-03-31
2507,BOF to ESP Duct Foundation (SP):-  Backfilling,CIV,2025-04-01,2025-04-10
2508,BOF to ESP Duct Foundation (SP):- Finishing works,CIV,2025-04-11,2025-04-20
2509, ESP Outlet to ID Fan Inlet Duct Foundation,CIV,2024-02-13,2024-09-26
2510,Priority (First) Pass,CIV,2024-02-13,2024-08-26
2511,ESP Outlet to ID Fan Inlet Duct Foundation (PP) :- EXCAVATION,CIV,2024-02-13,2024-04-07
2512,ESP Outlet to ID Fan Inlet Duct Foundation (PP) :- RCC in substructure including PCC,CIV,2024-02-28,2024-05-22
2513,ESP Outlet to ID Fan Inlet Duct Foundation (PP) :- RCC in superstructure,CIV,2024-04-13,2024-08-10
2514,ESP Outlet to ID Fan Inlet Duct Foundation (PP) :- Backfilling,CIV,2024-08-11,2024-08-22
2515,ESP Outlet to ID Fan Inlet Duct Foundation (PP) :- Finishing works,CIV,2024-08-23,2024-08-26
2516,Second Pass,CIV,2024-03-14,2024-09-26
2517,ESP Outlet to ID Fan Inlet Duct Foundation (SP) :- Excavation,CIV,2024-03-14,2024-05-07
2518,ESP Outlet to ID Fan Inlet Duct Foundation (SP) :- RCC in substructure including PCC,CIV,2024-03-29,2024-06-21
2519,ESP Outlet to ID Fan Inlet Duct Foundation (SP) :- RCC in superstructure,CIV,2024-05-13,2024-09-09
2520,ESP Outlet to ID Fan Inlet Duct Foundation (SP) :- Backfilling,CIV,2024-09-10,2024-09-21
2521,ESP Outlet to ID Fan Inlet Duct Foundation (SP) :- Finishing works,CIV,2024-09-22,2024-09-26
2522, ID Fan Outlet to Chimney Duct Foundation,CIV,2024-05-08,2024-11-27
2523,Priority (First) Pass,CIV,2024-05-08,2024-10-27
2524,ID Fan Outlet to Chimney Duct Foundation (PP):- EXCAVATION,CIV,2024-05-08,2024-06-21
2525,ID Fan Outlet to Chimney Duct Foundation (PP):- RCC in substructure including PCC,CIV,2024-05-24,2024-08-06
2526,ID Fan Outlet to Chimney Duct Foundation (PP):- RCC in superstructure,CIV,2024-07-08,2024-10-10
2527,ID Fan Outlet to Chimney Duct Foundation (PP):- Backfilling,CIV,2024-10-11,2024-10-22
2528,ID Fan Outlet to Chimney Duct Foundation (PP):- Finishing works,CIV,2024-10-23,2024-10-27
2529,Second Pass,CIV,2024-06-08,2024-11-27
2530,ID Fan Outlet to Chimney Duct Foundation (SP):- Excavation,CIV,2024-06-08,2024-07-22
2531,ID Fan Outlet to Chimney Duct Foundation (SP):- RCC in substructure including PCC,CIV,2024-06-24,2024-09-06
2532,ID Fan Outlet to Chimney Duct Foundation (SP):- RCC in superstructure,CIV,2024-08-08,2024-11-10
2533,ID Fan Outlet to Chimney Duct Foundation (SP):- Backfilling,CIV,2024-11-11,2024-11-22
2534,ID Fan Outlet to Chimney Duct Foundation (SP):- Finishing works,CIV,2024-11-23,2024-11-27
2535,Supply ,SUP,2022-09-27,2025-04-29
2536,BHEL TRY,SUP,2022-09-27,2025-04-29
2537,External Structures ( Supporting Structures for Duct  PG-39 ),OTH,2022-09-27,2025-01-27
2538,FOUNDATION MATERIALS (PGMA-39010),SUP,2022-09-27,2023-05-28
2539,Engineering,ENG,2022-09-27,2022-12-20
2540,Manufacturing,MFG,2022-12-21,2023-03-28
2541,Dispatch,DIS,2023-03-29,2023-05-28
2542,FOUNDATION MATERIALS I.D.DUCT SUPPORTS (PGMA-39012),SUP,2022-09-27,2023-05-28
2543,Engineering,ENG,2022-09-27,2022-12-20
2544,Manufacturing,MFG,2022-12-21,2023-03-28
2545,Dispatch,DIS,2023-03-29,2023-05-28
2546,COLUMNS/FRAMES BEFORE ESP- LEFT (PGMA-39101),SUP,2023-05-18,2024-10-28
2547,Engineering,ENG,2023-05-18,2024-01-17
2548,Manufacturing,MFG,2024-01-18,2024-09-28
2549,Dispatch,DIS,2024-09-29,2024-10-28
2550,COLUMNS/FRAMES BEFORE ESP- RIGHT (PGMA-39102),SUP,2023-05-18,2024-10-28
2551,Engineering,ENG,2023-05-18,2024-01-17
2552,Manufacturing,MFG,2024-01-18,2024-09-28
2553,Dispatch,DIS,2024-09-29,2024-10-28
2554,COLS/FRAMES NEAR I.D.FAN -LEFT (PGMA-39141),SUP,2023-01-09,2024-04-28
2555,Engineering,ENG,2023-01-09,2023-07-27
2556,Manufacturing,MFG,2023-07-28,2024-03-29
2557,Dispatch,DIS,2024-03-30,2024-04-28
2558,COLS/FRAMES NEAR ID FAN-RIGHT (PGMA-39142),SUP,2023-01-09,2024-04-28
2559,Engineering,ENG,2023-01-09,2023-07-27
2560,Manufacturing,MFG,2023-07-28,2024-03-29
2561,Dispatch,DIS,2024-03-30,2024-04-28
2562,COL/FRAMES BETN I.D.FAN AND Chimney (PGMA-39150),SUP,2023-01-09,2024-04-28
2563,Engineering,ENG,2023-01-09,2023-07-27
2564,Manufacturing,MFG,2023-07-28,2024-03-29
2565,Dispatch,DIS,2024-03-30,2024-04-28
2566,PLATFORMS EXTL STRUC BOF TO ESP (PGMA-39299),SUP,2023-05-18,2024-11-27
2567,Engineering,ENG,2023-05-18,2024-02-03
2568,Manufacturing,MFG,2024-02-04,2024-10-28
2569,Dispatch,DIS,2024-10-29,2024-11-27
2570,PLATFORMS -EXTERNAL STRUCTURE (PGMA-39300),SUP,2023-05-18,2024-11-27
2571,Engineering,ENG,2023-05-18,2024-02-03
2572,Manufacturing,MFG,2024-02-04,2024-10-28
2573,Dispatch,DIS,2024-10-29,2024-11-27
2574,STRUC AND PLATFORM/FOR FANS (PGMA-39301),SUP,2023-07-02,2024-11-27
2575,Engineering,ENG,2023-07-02,2024-03-22
2576,Manufacturing,MFG,2024-03-23,2024-10-28
2577,Dispatch,DIS,2024-10-29,2024-11-27
2578,STRUC FOR MOTOR HOOD/COVERING (PGMA-39302),SUP,2023-07-02,2025-01-27
2579,Engineering,ENG,2023-07-02,2024-03-22
2580,Manufacturing,MFG,2024-03-23,2024-12-28
2581,Dispatch,DIS,2024-12-29,2025-01-27
2582,FAN HANDLING STRUCTURE FOR FD FAN (PGMA-39304),SUP,2023-06-12,2024-12-28
2583,Engineering,ENG,2023-06-12,2024-02-28
2584,Manufacturing,MFG,2024-02-29,2024-11-28
2585,Dispatch,DIS,2024-11-29,2024-12-28
